8,[2001] keflavik,acook814@gmail.com
78,[2001] keflavik,acook814@gmail.com
85,[2001] keflavik,acook814@gmail.com
86,[2001] keflavik,acook814@gmail.com
87,[2001] keflavik,acook814@gmail.com
109,[2001] keflavik,acook814@gmail.com
141,[2001] keflavik,acook814@gmail.com
144,[2001] keflavik,acook814@gmail.com
266,[2001] keflavik,acook814@gmail.com
267,[2001] keflavik,acook814@gmail.com
118,[1909] thimblerig,swaller280@yahoo.com
98,[1909] thimblerig,swaller280@yahoo.com
46,[1909] thimblerig,swaller280@yahoo.com
47,[1909] thimblerig,swaller280@yahoo.com
104,[1909] thimblerig,swaller280@yahoo.com
105,[1909] thimblerig,swaller280@yahoo.com
106,[1909] thimblerig,swaller280@yahoo.com
111,[1909] thimblerig,swaller280@yahoo.com
129,[1909] thimblerig,swaller280@yahoo.com
142,[1909] thimblerig,swaller280@yahoo.com
157,[1909] thimblerig,swaller280@yahoo.com
167,[1909] thimblerig,swaller280@yahoo.com
178,[1909] thimblerig,swaller280@yahoo.com
186,[1909] thimblerig,swaller280@yahoo.com
198,[1909] thimblerig,swaller280@yahoo.com
205,[1909] thimblerig,swaller280@yahoo.com
215,[1905] fishfeathers,cvalencia294@hotmail.com
216,[1905] fishfeathers,cvalencia294@hotmail.com
217,[1905] fishfeathers,cvalencia294@hotmail.com
114,[1905] fishfeathers,cvalencia294@hotmail.com
115,[1905] fishfeathers,cvalencia294@hotmail.com
116,[1905] fishfeathers,cvalencia294@hotmail.com
289,[1905] fishfeathers,cvalencia294@hotmail.com
290,[1905] fishfeathers,cvalencia294@hotmail.com
291,[1905] fishfeathers,cvalencia294@hotmail.com
281,[1905] fishfeathers,cvalencia294@hotmail.com
282,[1905] fishfeathers,cvalencia294@hotmail.com
283,[1905] fishfeathers,cvalencia294@hotmail.com
284,[1905] fishfeathers,cvalencia294@hotmail.com
268,[1905] fishfeathers,cvalencia294@hotmail.com
269,[1905] fishfeathers,cvalencia294@hotmail.com
