milkychance.hq@gmail.com,Blossom,2017,Alternative/Indie,http://imgur.com/t7PWgDx7IvaOe1THwRrT
milkychance.hq@gmail.com,Sadnecessary,2014,Alternative/Indie,http://imgur.com/HXRJ39qRRoCyRkJRw3AR
milkychance.hq@gmail.com,Mind the Moon,2019,Alternative/Indie,http://imgur.com/NJHL43Ph9Jx20n6mtT7W
norah.jones31@gmail.com,Come Away with Me,2002,Jazz,http://imgur.com/VmAB0SaThAXyI3zi4TjH
norah.jones31@gmail.com,Feels  like Home,2004,Jazz,http://imgur.com/w4IXUA9PtS8cbnVK7jdl
bryan.adams41@hotmail.com,Cuts Like a Knife,1983,Rock,http://imgur.com/C6jfbyY20fnXqrnz86k5
bryan.adams41@hotmail.com,Reckless,1984,Rock,http://imgur.com/UYDy46MhnUrXV51o32vx
u2.official@icloud.com,Live From Paris,2007,Rock,http://imgur.com/XgjbCQbPQCiYUdZ940Sh
u2.official@icloud.com,Songs of Innocence,2014,Rock,http://imgur.com/1q1387hZZarQZ8DXMTqk
george.ezra.cool@me.com,Staying at Tamara's,2018,Folk,http://imgur.com/CbKN5zMkAtgJMTXjQvei
the_internet@hotmail.com,Ego Death,2015,R&B,http://imgur.com/QoZqGBrv9umzrkYPf7RV
the_internet@hotmail.com,Come Over,2018,R&B,http://imgur.com/M0URuVjpmnqze98MqARf
gorillazzz@me.com,Demon Days,2005,Alternative/Indie,http://imgur.com/VRWUA7aAlBEI9fjaY43V
bloc77party@yahoo.com,Silent Alarm,2005,Rock,http://imgur.com/PSb77jwY4GR3mso9eUlT
bloc77party@yahoo.com,A Weekend In The City,2007,Rock,http://imgur.com/E9JvmSozRrkNZTG1bjzy
thylacine@icloud.com,Transsiberian,2015,Alternative/Indie,http://imgur.com/Dxmg1UVgMkoYikuMUKPS
danielpemberton@music.com,Spider-Man: Into the Spider-Verse (Original Score),2018,Soundtrack,http://imgur.com/K8AjJflsHjpxXS7KdtNU
retrov1s10n@gmail.com,Get Down,2018,Electronic,http://imgur.com/vWzQAr6JrU8UczLxhpzT
2manyzooz@hotmail.com,Subway Gawdz,2016,Pop,http://imgur.com/rMmi92bpCeDujEbEtBbr
overwerk@me.com,Canon,2015,Electronic,http://imgur.com/rjcfKF0GaonR3HpEFoXM
overwerk@me.com,State,2017,Electronic,http://imgur.com/3nmC9qGUzeJkeAWlRioY
sturgill@simpson.com,SOUND & FURY,2019,Rock,http://imgur.com/RYsYlB6TcUaWjVil7VUy
woodkiiid@gmail.com,The Golden Age,2013,Alternative/Indie,http://imgur.com/nGaFeQb8sdjHGJ2u5qOy
kongoskongos@kongos.com,Lunatic,2014,Rock,http://imgur.com/WF1YHdD8UEZyfy3bl9bq
nuages@icloud.com,Closer,2017,Electronic,http://imgur.com/fd7x8Jd53YQb1lwJrpnV
mal.blum@gmail.com,Pity Boy,2019,Alternative/Indie,http://imgur.com/OB79HgCn9vXicZz988a9
mal.blum@gmail.com,You Look A Lot Like Me,2015,Alternative/Indie,http://imgur.com/gPWt5bwFvaUA6wbo1FYx
bigthief@gmail.com,Masterpiece,2016,Indie Rock,http://imgur.com/ZGJ0sUUD73Sa5pOTTFyd
bigthief@gmail.com,Two Hands,2019,Indie Rock,http://imgur.com/TVUwfm2NU6S5HcX4iqio
nnme@live.com,Room 25,2018,Rap,http://imgur.com/KywWv72pti53XVmqvTZO
nnme@live.com,Song 31,2019,Rap,http://imgur.com/hF4kNb0elY5mbGkNGgdo
nnme@live.com,Song 32,2019,Rap,http://imgur.com/SeWJHP4IkcItEjbeEi4R
rosenthal@gmail.com,Big Pot of Hummus,2019,Folk,http://imgur.com/SdoKK0q7rAyMMZnqDzTB
cavetowninq@gmail.com,Lemon Boy,2018,Indie Pop,http://imgur.com/rMfmOGNENBkpBHRSpQ40
jsbach@yahoo.com,Suite Für Orchester Nr. 2 H-Moll BWV 1067,1989,Classical,http://imgur.com/1Fi8IAZXfqZFBEdfEgv3
nightwishofficial@gmail.com,Imaginaerum,2011,Heavy metal,http://imgur.com/7o35YDGXtoNSpADkYQdN
nightwishofficial@gmail.com,Dark Passion Play,2007,Heavy metal,http://imgur.com/iczxRkuwqMNOAXayujIi
bribb123@yandex.com,Build My Life,2020,Gospel,http://imgur.com/jr5BRReSOcUjzPBhh3zZ
jonathanmcreynolds@telus.com,People,2020,Gospel,http://imgur.com/SPo2ileBPFleRHk0Y8KU
xylosocial@gmail.com,yes & no,2019,Electric,http://imgur.com/IzbTZyFstRjVESevLTdI
arcadefire@flames.com,The Suburbs,2010,Rock,http://imgur.com/SyBYrBD5vGPXuXMCDAAo
sevdaliza@sev.du,ISON,2017,Electric,http://imgur.com/l0jtzebu8YsMX5k8mQCR
maraineysson@yahoo.com,Ma Rainey,1974,Blues,http://imgur.com/Q9lzVoo4JzOBjaYu2sMw
