0,2012-02-05-03.05.11.000000,rrichard601@hotmail.com,283
1,2012-06-18-14.17.02.000000,rrichard601@hotmail.com,75
2,2018-12-05-13.50.53.000000,rrichard601@hotmail.com,283
3,2016-01-21-14.53.52.000000,rrichard601@hotmail.com,245
4,2014-09-24-01.46.03.000000,oobrien710@yahoo.com,60
5,2012-01-16-23.43.54.000000,oobrien710@yahoo.com,60
6,2014-03-06-02.19.02.000000,oobrien710@yahoo.com,60
7,2014-08-27-22.45.32.000000,oobrien710@yahoo.com,211
8,2012-02-10-00.48.04.000000,ilove424@live.com,112
9,2015-01-14-21.19.07.000000,ilove424@live.com,266
10,2016-05-11-00.56.14.000000,ilove424@live.com,260
11,2019-05-12-23.14.37.000000,ilove424@live.com,260
12,2015-02-27-16.27.46.000000,ilove424@live.com,318
13,2015-07-31-11.20.41.000000,blucas75@yahoo.com,50
14,2017-10-18-20.35.19.000000,blucas75@yahoo.com,216
15,2018-01-12-04.53.47.000000,blucas75@yahoo.com,291
16,2015-12-03-19.42.18.000000,blucas75@yahoo.com,291
17,2014-09-06-04.43.32.000000,blucas75@yahoo.com,291
18,2014-08-04-08.35.03.000000,blucas75@yahoo.com,50
19,2016-06-03-10.37.56.000000,blucas75@yahoo.com,88
20,2016-10-09-20.11.40.000000,slambert47@yahoo.com,128
21,2017-01-03-13.24.32.000000,slambert47@yahoo.com,128
22,2018-08-11-13.35.17.000000,slambert47@yahoo.com,281
23,2015-03-14-15.39.58.000000,slambert47@yahoo.com,308
24,2018-05-10-14.30.12.000000,zmcguire335@msn.com,244
25,2019-05-29-20.02.41.000000,zmcguire335@msn.com,127
26,2017-12-08-17.32.22.000000,zmcguire335@msn.com,285
27,2012-06-13-16.55.52.000000,zmcguire335@msn.com,285
28,2019-02-05-16.47.55.000000,zmcguire335@msn.com,244
29,2017-04-23-05.32.35.000000,zmcguire335@msn.com,150
30,2018-03-28-19.22.48.000000,zmcguire335@msn.com,450
31,2017-05-11-06.19.52.000000,zmcguire335@msn.com,416
32,2019-11-05-17.51.09.000000,myang750@msn.com,195
33,2019-02-02-21.54.09.000000,myang750@msn.com,292
34,2014-05-17-20.57.57.000000,myang750@msn.com,24
35,2017-10-07-02.36.53.000000,myang750@msn.com,195
36,2017-07-19-05.12.16.000000,myang750@msn.com,195
37,2017-07-21-15.30.09.000000,myang750@msn.com,195
38,2013-04-25-21.06.23.000000,rflynn24@msn.com,139
39,2017-05-26-22.07.33.000000,rflynn24@msn.com,25
40,2017-11-15-19.08.41.000000,rflynn24@msn.com,139
41,2017-05-07-09.28.28.000000,rflynn24@msn.com,82
42,2017-05-16-04.32.56.000000,rflynn24@msn.com,25
43,2017-01-27-10.05.56.000000,rflynn24@msn.com,20
44,2016-02-19-08.53.28.000000,rflynn24@msn.com,139
45,2017-08-20-17.15.08.000000,rflynn24@msn.com,399
